AssemblyAccession	GenomeSize	ProteinCount
GCF_000620125.1	3250627	3058
GCF_000620145.1	3711979	3303
GCF_000620305.1	4361351	4128
GCF_000620425.1	5134977	3987
GCF_000620765.1	3242094	2874
GCF_000620785.1	9931328	9300
GCF_000620825.1	3208506	3175
GCF_000620845.1	2814016	2776
GCF_000621025.1	1922095	1653
GCF_000621085.1	834674	647
GCF_000621125.1	4853010	3959
GCF_000621145.1	3961953	3456
GCF_000621165.1	5503346	4725
GCF_000621205.1	4465828	3967
GCF_000621305.1	4214344	3758
GCF_000621325.1	3718676	3537
GCF_000621385.1	3696762	3103
GCF_000621445.1	5002403	4768
GCF_000621485.1	4024838	3700
GCF_000621505.1	6132222	5021
GCF_000621625.1	4622888	3951
GCF_000621665.1	4133860	3661
GCF_000621825.1	3216972	2451
GCF_000622165.1	842941	703
GCF_000622205.1	901123	746
GCF_000622245.1	2103008	1910
GCF_000626635.1	5132075	4005
GCF_000626675.1	3568218	3229
GCF_000632965.1	1170935	885
GCF_000632985.1	884232	785
GCF_000633935.1	3448426	3106
GCF_000661895.1	3267233	3125
GCF_000661955.1	4648976	3990
GCF_000686525.1	2939696	2699
GCF_000686585.1	778716	642
GCF_000686645.1	2654868	2569
GCF_000686705.1	4101506	3677
GCF_000686725.1	4589511	4227
GCF_000686885.1	3158735	2879
GCF_000686905.1	2920434	2759
GCF_000687145.1	2660928	2344
GCF_000687165.1	5526777	4854
GCF_000688515.1	3872586	3650
GCF_000689255.1	6382840	5839
GCF_000691805.2	2129476	2133
GCF_000695095.2	4716552	3904
GCF_000695685.1	5286006	4631
GCF_000696015.1	948516	739
GCF_000696185.1	8174272	6620
GCF_000696575.1	4255520	3942
GCF_000696595.1	7854862	6496
GCF_000697965.2	7267502	6646
GCF_000699505.1	1430433	1357
GCF_000701405.1	4800021	4444
GCF_000701425.1	4031778	3831
GCF_000701445.1	3220540	3148
GCF_000701485.1	813344	613
GCF_000701505.1	6173415	5163
GCF_000701525.1	806944	704
GCF_000701585.1	4175408	3838
GCF_000701665.1	2646896	2622
GCF_000701785.1	840640	677
GCF_000701805.1	767866	597
GCF_000701825.1	902877	774
GCF_000702045.1	2675466	2336
GCF_000706625.1	1747106	1291
GCF_000706645.1	1534143	1207
GCF_000706765.1	1734546	1323
GCF_000709345.1	5284042	4865
GCF_000709415.1	2757557	2487
GCF_000710505.1	5045869	4239
GCF_000710775.1	5606375	4506
GCF_000710955.1	5861114	5062
GCF_000711735.1	4185035	3669
GCF_000711795.1	4304676	3812
GCF_000711805.1	4463095	3752
GCF_000711875.1	5149006	4397
GCF_000711895.1	4800313	3995
GCF_000711955.1	5780610	5102
GCF_000711975.1	2622239	2620
GCF_000711985.1	4586440	3912
GCF_000712035.1	2554929	2537
GCF_000712165.1	835388	633
GCF_000712185.1	779012	630
GCF_000715845.1	9111622	7382
GCF_000722635.1	6342227	5089
GCF_000723165.1	5949001	5090
GCF_000723205.1	4228350	3512
GCF_000723385.1	6139893	5629
GCF_000723425.2	6450522	5172
GCF_000723465.1	2968500	2677
GCF_000723785.2	3078647	2714
GCF_000724605.1	2159306	1699
GCF_000724625.1	5231762	4650
GCF_000724775.3	4843789	4568
GCF_000725365.1	3577082	3525
GCF_000725475.1	9312374	8024
GCF_000725485.1	11006208	9699
GCF_000725495.1	9928053	8251
GCF_000725545.1	7874957	6788
GCF_000725555.1	7507524	6488
GCF_000725745.1	9315748	7628
GCF_000725785.1	8762262	7517
GCF_000725805.1	8621934	7549
GCF_000730165.1	7382386	6159
GCF_000730385.1	4308833	3662
GCF_000731315.1	6455027	6045
GCF_000731675.1	5940443	5220
GCF_000732925.1	9053857	8394
GCF_000732945.1	2359448	1952
GCF_000733715.2	5372474	4963
GCF_000733865.1	850030	643
GCF_000734015.1	1764045	1719
GCF_000737325.1	10327335	8591
GCF_000737865.1	1755151	1345
GCF_000738435.1	3288122	3095
GCF_000739045.1	7829169	6621
GCF_000739435.1	2501598	2232
GCF_000740965.1	5024250	4332
GCF_000741825.1	6777958	6011
GCF_000742675.1	4175060	4002
GCF_000743945.1	1959069	1639
GCF_000744415.1	2163552	2138
GCF_000745425.1	4320537	3599
GCF_000745455.1	2172469	1959
GCF_000745835.1	6727093	6090
GCF_000745855.1	6535173	6220
GCF_000745895.1	2609584	2377
GCF_000745905.1	2928893	2605
GCF_000745915.1	5078290	4812
GCF_000745965.1	8177135	6607
GCF_000745975.1	4466775	3812
GCF_000746025.2	3805411	3681
GCF_000746085.1	3971247	3419
GCF_000746255.1	1687244	1653
GCF_000746845.1	3160033	2894
GCF_000747315.1	2328278	2206
GCF_000754805.1	4941872	4264
GCF_000754995.1	3973583	3533
GCF_000755145.1	2800562	2278
GCF_000755585.2	4458287	3897
GCF_000756125.1	7085397	5958
GCF_000756505.1	2397867	2210
GCF_000756615.1	6053498	5202
GCF_000756715.1	2191063	2143
GCF_000757795.1	6286629	5618
GCF_000758165.1	3532909	2907
GCF_000758345.1	5052868	4278
GCF_000758665.1	8156808	6777
GCF_000758685.1	5658798	4982
GCF_000758705.1	7166464	6024
GCF_000758725.1	6812473	5847
GCF_000760695.4	9949079	7678
GCF_000760875.1	5607439	5234
GCF_000761155.1	4688635	4093
GCF_000761485.1	4953652	4622
GCF_000763515.1	2919548	2730
GCF_000763575.1	2397824	2188
GCF_000764025.1	3212303	2822
GCF_000764535.1	4061902	3685
GCF_000767055.1	2698995	2534
GCF_000767075.1	1850897	1713
GCF_000767275.2	2237377	1890
GCF_000767465.1	5457578	4905
GCF_000768555.3	4241818	3992
GCF_000770115.1	5881490	5166
GCF_000770155.1	4848754	4443
GCF_000772105.1	5540337	4946
GCF_000783935.2	5823931	5282
GCF_000785105.2	2095860	1950
GCF_000785455.1	5762608	4731
GCF_000785495.1	5637360	5468
GCF_000785705.2	5172098	4539
GCF_000787775.1	8457280	7243
GCF_000787815.1	8418219	7341
GCF_000787835.1	8771919	7625
GCF_000787855.1	9386419	8130
GCF_000788395.1	4815987	4237
GCF_000789235.1	3953230	3329
GCF_000799205.1	4625174	4324
GCF_000799975.1	7273426	6663
GCF_000800295.1	1627009	1446
GCF_000800395.1	3531443	3269
GCF_000801145.1	2431533	2181
GCF_000802245.2	7346075	6072
GCF_000803645.1	5202172	4790
GCF_000807215.1	2927205	2638
GCF_000807275.1	2692351	2248
GCF_000807675.2	4422837	4067
GCF_000807775.2	5592065	4801
GCF_000807855.2	6610326	4898
GCF_000812665.2	4376120	3879
GCF_000813365.1	7594511	6125
GCF_000813705.1	2451909	2243
GCF_000815065.1	778866	572
GCF_000815105.2	5867621	4931
GCF_000815225.1	1661527	1503
GCF_000816085.1	2472129	2287
GCF_000816185.1	1465081	1440
GCF_000816305.1	1852995	1815
GCF_000816345.1	1517949	1488
GCF_000816495.1	2899785	2490
GCF_000816575.1	3657208	3256
GCF_000817735.3	5969680	5243
GCF_000817745.2	4850174	4120
GCF_000817775.2	5815105	4784
GCF_000817785.2	7501515	6436
GCF_000817955.1	3618700	3236
GCF_000818015.1	4383480	3972
GCF_000818095.1	4119509	4241
GCF_000818395.1	5384605	4969
GCF_000819565.1	4969388	4763
GCF_000819805.1	4062507	3688
GCF_000819865.1	4540059	4025
GCF_000819885.1	3904228	3443
GCF_000820005.1	5177970	4660
GCF_000820025.1	4762473	4190
GCF_000820045.1	4534147	4104
GCF_000820085.1	4186903	3738
GCF_000820145.1	4683669	4138
GCF_000820165.1	4250891	3788
GCF_000820185.1	4755221	4240
GCF_000821045.2	3376283	2983
GCF_000821245.2	3924902	3711
GCF_000825665.2	920157	711
GCF_000826065.2	3212185	2914
GCF_000826145.2	2914409	2851
GCF_000826185.2	3692944	3432
GCF_000826525.2	3842609	3277
GCF_000826835.1	4216386	3971
GCF_000827125.1	3717645	3469
GCF_000827595.2	2493400	2264
GCF_000827885.1	4339718	3744
GCF_000828075.3	9468441	7632
GCF_000828085.3	7893269	6216
GCF_000828475.1	3424964	3245
GCF_000828615.1	3153637	2939
GCF_000828635.1	3802648	3579
GCF_000828655.1	2014912	1938
GCF_000828675.1	2187612	2094
GCF_000828855.1	693241	541
GCF_000828895.1	2574013	2336
GCF_000828915.1	2623236	2348
GCF_000829055.1	2952961	2585
GCF_000829215.1	4030944	3575
GCF_000829395.1	2400586	2266
GCF_000829715.2	8319549	6988
GCF_000830005.1	9153777	7894
GCF_000830905.1	1382308	1394
GCF_000830985.1	3975896	2576
GCF_000831385.1	2915920	2631
GCF_000831645.3	2790548	2387
GCF_000832015.1	4190841	3500
GCF_000833025.1	4064534	3468
GCF_000833295.1	1924061	1789
GCF_000833575.1	2830519	2506
GCF_000834395.1	4471090	3834
GCF_000834455.1	4372253	3710
GCF_000835165.1	2729219	2496
GCF_000835205.1	7896538	6566
GCF_000875755.1	895051	736
GCF_000931445.1	7762396	6210
GCF_000931935.2	5934994	4874
GCF_000934565.1	6143950	5504
GCF_000934605.2	5736282	4807
GCF_000934725.1	4902375	4224
GCF_000934745.1	4634603	4093
GCF_000934755.1	4809662	4043
GCF_000934765.1	3102228	2758
GCF_000935025.1	5228389	4738
GCF_000940805.1	6475959	5176
GCF_000940995.1	5909413	5037
GCF_000941055.1	3303986	2774
GCF_000942395.1	3421198	3342
GCF_000943515.2	9490992	8288
GCF_000948395.1	7624758	6018
GCF_000948975.1	7420857	6185
GCF_000948985.1	7710243	6453
GCF_000951135.1	4652098	4098
GCF_000953135.1	4434890	3638
GCF_000953635.1	3310028	2852
GCF_000953655.1	3570857	3071
GCF_000953715.1	2053097	1815
GCF_000953855.2	3123558	2914
GCF_000956315.1	922280	823
GCF_000959365.1	7135022	6081
GCF_000959505.1	6409095	5592
GCF_000959525.1	6322746	5584
GCF_000960975.1	4817335	4400
GCF_000961095.1	5749967	4964
GCF_000963865.1	3274259	2948
GCF_000963965.1	2910689	2502
GCF_000964225.1	2687370	2395
GCF_000964365.1	3862273	3809
GCF_000964425.1	3883532	3471
GCF_000964565.1	3699725	3163
GCF_000966355.1	3206741	2119
GCF_000967245.1	1810599	1643
GCF_000967305.2	4248684	3761
GCF_000967915.1	1877792	1708
GCF_000967935.1	6680334	5932
GCF_000968055.1	1554229	1449
GCF_000968175.1	3659523	3214
GCF_000968195.1	4203651	3457
GCF_000968375.1	5749410	5046
GCF_000968535.2	4796711	3914
GCF_000969605.1	6319576	5711
GCF_000969705.1	5558097	5106
GCF_000970755.1	2186983	1952
GCF_000970795.1	1815047	1657
GCF_000971115.1	3228371	2973
GCF_000971155.1	2966865	2763
GCF_000971175.1	2682991	2409
GCF_000971195.1	3002692	2791
GCF_000971215.1	2918791	2745
GCF_000971235.1	3075577	2809
GCF_000971965.1	5240711	4407
GCF_000971985.1	5449237	4545
GCF_000972685.1	3745123	3746
GCF_000972705.2	7314117	5841
GCF_000972785.3	6500731	5343
GCF_000973065.1	6228153	5010
GCF_000973085.1	1330224	1237
GCF_000973105.1	5521712	4416
GCF_000973625.1	2026292	2034
GCF_000973725.1	5462537	4485
GCF_000974425.1	7029352	5616
GCF_000974445.1	10698154	9723
GCF_000974685.2	2717229	2620
GCF_000974805.1	3209522	2890
GCF_000975035.1	2546965	2348
GCF_000975055.1	2460989	2246
GCF_000975095.1	2790392	2575
GCF_000975115.1	2623557	2350
GCF_000975135.1	2565694	2286
GCF_000975155.1	2622354	2411
GCF_000980815.1	2451810	2201
GCF_000980835.1	2354065	2007
GCF_000981585.1	7919576	6506
GCF_000981765.1	2495242	2255
GCF_000983115.1	2944717	2694
GCF_000986785.1	5182058	4908
GCF_000987835.1	2217891	2155
GCF_000987925.1	4837317	4226
GCF_000988065.1	968791	695
GCF_000988745.2	2141970	1892
GCF_000993785.3	5961402	5161
GCF_001005295.1	7646853	6620
GCF_001005905.1	2778379	2711
GCF_001006005.1	6000511	5249
GCF_001006305.1	6459122	5167
GCF_001006805.1	9172134	8084
GCF_001007875.1	3962284	3597
GCF_001007995.1	3236984	3086
GCF_001008165.2	3475106	3199
GCF_001008975.1	5271601	4302
GCF_001010285.1	5147098	4057
GCF_001011095.1	1978364	1816
GCF_001012775.1	6215362	5564
GCF_001012825.1	6634505	5740
GCF_001017175.1	6472445	5958
GCF_001017655.1	2949723	2392
GCF_001017755.1	5795263	4368
GCF_001017775.3	4464186	4050
GCF_001020205.1	4142990	3644
GCF_001020565.1	4050606	3447
GCF_001020955.1	2969361	2714
GCF_001020985.1	3474226	3047
GCF_001021025.1	2692072	2375
GCF_001021045.1	2721226	2515
GCF_001021065.1	2419437	2119
GCF_001021495.1	6539988	5887
GCF_001021915.1	4430829	3472
GCF_001022135.1	6166452	5726
GCF_001025155.1	2021974	1513
GCF_001025195.1	2079525	1616
GCF_001026695.1	5309094	5007
GCF_001027025.1	2169170	2025
GCF_001027545.1	1588979	1342
GCF_001028625.1	2885033	2684
GCF_001028645.1	2503265	2274
GCF_001028665.1	7961346	6920
GCF_001029105.3	5732664	4838
GCF_001029245.1	1160484	1210
GCF_001029265.1	1365714	1199
GCF_001029505.1	3187461	3102
GCF_001038625.1	5752782	5098
GCF_001039045.1	2899876	2665
GCF_001039475.1	4256776	4168
GCF_001040945.1	5509723	4762
GCF_001042595.1	2635669	2083
GCF_001042635.1	3158347	2437
GCF_001042675.1	1890857	1496
GCF_001042695.1	1797862	1416
GCF_001042715.1	4207037	3818
GCF_001043175.1	3998597	3492
GCF_001044425.1	7834742	6765
GCF_001046635.1	5313474	4880
GCF_001046645.1	4656115	4443
GCF_001046655.1	4693489	4435
GCF_001046855.1	5162321	4366
GCF_001046875.1	3809986	3496
GCF_001046955.1	5252390	4937
GCF_001047075.2	1552198	1397
GCF_001047275.1	2173235	1998
GCF_001050015.1	5470965	5163
GCF_001050115.1	3381292	2937
GCF_001050135.1	6158829	4716
GCF_001050195.2	4173865	3617
GCF_001050215.2	3698317	3346
GCF_001050235.1	4438311	3857
GCF_001050295.1	2792738	2672
GCF_001050375.1	4549503	3629
GCF_001050435.1	3006812	2585
GCF_001050475.1	2590556	2485
GCF_001050535.1	4264973	3874
GCF_001051995.2	4171754	3810
GCF_001053435.1	2905202	2635
GCF_001056675.1	3516196	3208
GCF_001071155.1	2196734	2028
GCF_001077815.2	3226359	3032
GCF_001112925.1	4143134	3583
GCF_001152565.1	5046986	4543
GCF_001183605.1	5221635	4749
GCF_001183985.1	5428425	4813
GCF_001184205.1	5114044	4708
GCF_001186155.3	3330075	3160
GCF_001187505.1	7105933	6489
GCF_001187555.1	3746057	3194
GCF_001187595.1	2803668	2810
GCF_001187725.1	6986486	6675
GCF_001187785.1	3675202	3058
GCF_001187845.1	3264628	3226
GCF_001189295.1	11388132	8064
GCF_001189575.1	4759248	4122
GCF_001190745.1	2281652	2106
GCF_001190945.1	5420910	5105
GCF_001192795.1	3510630	2717
GCF_001192835.1	4514407	3298
GCF_001243045.1	2542842	2364
GCF_001243895.1	3987368	3673
GCF_001244495.1	3453778	3274
GCF_001244995.1	3105129	2994
GCF_001261775.1	3511751	3027
GCF_001262015.1	3261806	2418
GCF_001262055.1	2049088	1694
GCF_001263175.1	4350553	3545
GCF_001263205.1	12191466	10366
GCF_001263395.1	1830060	1421
GCF_001263415.1	3178727	3067
GCF_001263755.1	2563723	2335
GCF_001267155.1	1225519	1109
GCF_001267255.1	2294397	2111
GCF_001267535.1	4783533	4218
GCF_001267845.1	1791401	1659
GCF_001267885.1	8393598	7186
GCF_001270025.1	8790205	7566
GCF_001270745.1	7266157	6473
GCF_001272835.1	817207	683
GCF_001273775.1	4589485	4437
GCF_001274715.1	6348994	6215
GCF_001274725.1	5673948	5350
GCF_001274775.1	4312088	4326
GCF_001274875.1	1514561	1464
GCF_001274895.1	2769745	2370
GCF_001274945.1	4758570	4424
GCF_001275345.1	2854447	2399
GCF_001275365.1	1516676	1086
GCF_001277175.1	4436873	4038
GCF_001277195.1	4364114	3923
GCF_001277215.2	4473761	4081
GCF_001277235.1	4628405	4206
GCF_001277255.1	4499482	4033
GCF_001277345.1	6198757	5432
GCF_001277995.1	3033893	2646
GCF_001278055.1	3958620	3503
GCF_001278075.1	8532592	7062
GCF_001278115.1	4533022	3974
GCF_001278705.1	4597707	4413
GCF_001278945.1	4100313	3777
GCF_001280595.1	7087286	6039
GCF_001281045.1	1179577	1008
GCF_001281175.1	1460240	1316
GCF_001281405.1	1467695	1191
GCF_001281485.1	2786256	2724
GCF_001281525.1	4866035	4488
GCF_001282685.1	4578674	4169
GCF_001282725.1	3497276	3233
GCF_001282945.1	1578404	1467
GCF_001283065.1	1638988	1495
GCF_001286525.1	5188967	4040
GCF_001291465.1	1905383	1442
GCF_001293125.1	1860551	1543
GCF_001294575.1	5149788	4472
GCF_001297845.1	4621430	4189
GCF_001298445.1	7094556	5343
GCF_001298465.1	1840041	1782
GCF_001298525.1	2931580	2380
GCF_001302585.1	11759770	10359
GCF_001304715.1	2504349	2217
GCF_001305515.1	6484983	5708
GCF_001305575.3	4265317	3518
GCF_001305595.1	7609458	6497
GCF_001305675.1	4428727	4036
GCF_001306015.1	4783170	4181
GCF_001307195.1	3054269	2719
GCF_001307545.1	6254616	5865
GCF_001307805.1	3858284	3671
GCF_001308265.1	3096705	2990
GCF_001310085.1	5413467	4274
GCF_001310225.1	3994770	3280
GCF_001314305.1	4138297	3603
GCF_001314325.1	5748623	5434
GCF_001314995.1	6472489	4751
GCF_001319545.1	4339718	3822
GCF_001319845.1	4526044	4019
GCF_001375495.1	2633477	2290
GCF_001375535.1	4684221	4157
GCF_001375615.1	4849808	4354
GCF_001375675.1	2849407	2726
GCF_001399455.2	4922047	4380
GCF_001399515.1	3276390	3104
GCF_001399775.1	2338641	2399
GCF_001400515.1	5097969	4273
GCF_001400735.1	6257670	5527
GCF_001401755.1	5506799	4687
GCF_001402875.1	3724841	3226
GCF_001403615.1	5503198	5138
GCF_001403635.1	3732966	3308
GCF_001403795.1	3486999	3447
GCF_001403875.1	5924107	4943
GCF_001404615.1	2395159	2068
GCF_001404935.1	3531725	3231
GCF_001405015.1	3449564	3154
GCF_001405615.1	3567818	3353
GCF_001406095.1	4735295	3812
GCF_001406295.1	3307376	2879
GCF_001412635.1	1924513	1809
GCF_001417755.1	8992127	8026
GCF_001418005.1	4373820	4078
GCF_001418025.1	2594657	2602
GCF_001418035.1	2848002	2695
GCF_001418205.1	4189249	3782
GCF_001418225.1	4170676	3700
GCF_001418245.1	2259819	2185
GCF_001418255.1	3203428	3005
GCF_001418325.1	8892875	7662
GCF_001418335.1	9255252	7672
GCF_001418345.1	2437751	2276
GCF_001418415.1	8506297	7073
GCF_001418475.1	9298634	7651
GCF_001418495.1	5542997	4564
GCF_001418565.1	9608680	8039
GCF_001418575.1	8245423	6923
GCF_001418645.1	9132025	7621
GCF_001418655.1	10935515	9039
GCF_001419705.1	7433599	5966
GCF_001419745.1	8744139	7371
GCF_001419765.1	9848803	8063
GCF_001419795.1	9549495	8260
GCF_001420595.1	5315603	5122
GCF_001420645.1	3967762	3979
GCF_001420695.1	6279095	5830
GCF_001420715.1	5297592	4980
GCF_001421015.2	5517199	4640
GCF_001431195.1	5002729	4410
GCF_001431725.1	4757486	4035
GCF_001432245.1	2822193	2630
GCF_001433715.1	4686200	3857
GCF_001434115.1	2704501	2431
GCF_001434145.1	2346188	2212
GCF_001434255.1	3261379	2916
GCF_001434335.1	2078190	1887
GCF_001434355.1	8847108	7493
GCF_001434365.1	1848461	1763
GCF_001434395.1	2815465	2511
GCF_001434405.1	2091181	1974
GCF_001434435.1	1911334	1785
GCF_001434455.1	1685542	1587
GCF_001434515.1	1837804	1716
GCF_001434555.1	1548566	1503
GCF_001434665.1	2173857	2059
GCF_001434705.1	2280237	2130
GCF_001434815.1	2052598	1878
GCF_001434845.1	2298009	2170
GCF_001434895.1	2751938	2381
GCF_001434915.1	2232918	2081
GCF_001434935.1	2686405	2494
GCF_001435065.1	2122254	1979
GCF_001435195.1	2639652	2405
GCF_001435235.1	2605329	2381
GCF_001435245.1	1599963	1525
GCF_001435395.1	2238031	2116
GCF_001435775.1	2151571	2054
GCF_001435875.1	2859511	2686
GCF_001435935.1	2006512	1790
GCF_001435995.1	1479955	1429
GCF_001436015.1	2183163	2015
GCF_001436135.1	2060676	1843
GCF_001436225.1	2444304	2306
GCF_001436255.1	2854844	2569
GCF_001436275.1	2117633	1917
GCF_001436295.1	2559201	2411
GCF_001436315.1	1680526	1564
GCF_001436375.1	3467402	3248
GCF_001436505.1	2269330	2164
GCF_001436535.1	2593412	2481
GCF_001436555.1	1566789	1553
GCF_001436595.1	3476170	3060
GCF_001436605.1	1289346	1228
GCF_001436615.1	2562179	2397
GCF_001436705.1	2459509	2215
GCF_001436735.1	1919106	1791
GCF_001436755.1	2407726	2143
GCF_001436945.1	2318091	2094
GCF_001436985.1	1391354	1323
GCF_001437055.1	1646143	1473
GCF_001437125.1	2362603	2152
GCF_001437425.1	1768499	1753
GCF_001437465.1	2435824	2392
GCF_001438705.1	1334438	1246
GCF_001438845.1	2989578	2699
GCF_001439605.1	5271464	5026
GCF_001439635.1	4782966	4584
GCF_001439885.1	7904309	6901
GCF_001439915.1	4836444	4646
GCF_001439925.1	5191302	4728
GCF_001439965.1	5308781	5105
GCF_001440035.1	9145311	7873
GCF_001440395.1	8738846	7972
GCF_001442745.1	5916388	4801
GCF_001442805.1	6056618	4950
GCF_001443605.1	4812386	3739
GCF_001444405.1	4868993	4153
GCF_001444425.1	3345119	3025
GCF_001444445.1	2861432	2348
GCF_001449115.1	5345702	4330
GCF_001455085.1	2430523	2278
GCF_001455205.1	3307820	2861
GCF_001456255.1	5175153	4491
GCF_001456355.1	4649175	4470
GCF_001457025.1	4226231	3797
GCF_001457415.1	5263775	4635
GCF_001457435.1	2065185	1710
GCF_001457455.1	2463666	2179
GCF_001457555.1	2455060	2254
GCF_001457595.1	6983267	6468
GCF_001457835.1	1739382	1548
GCF_001458175.1	4001860	3774
GCF_001460635.1	1920832	1829
GCF_001461035.1	3660245	3491
GCF_001461805.1	4702949	4302
GCF_001462145.1	4539587	3700
GCF_001465255.1	5200139	4902
GCF_001465545.3	6167370	5296
GCF_001465595.2	5571260	4908
GCF_001465795.2	3505011	3421
GCF_001465835.2	3485580	3264
GCF_001465875.1	3846294	3234
GCF_001466305.1	2539811	2373
GCF_001466665.1	1851576	1872
GCF_001467025.1	3750738	3235
GCF_001467115.1	6162306	5277
GCF_001467615.1	3239140	2912
GCF_001467895.1	3649429	3117
GCF_001467925.1	2668211	2427
GCF_001468005.1	4227172	3599
GCF_001468025.1	3507052	2866
GCF_001468135.1	4820916	4068
GCF_001481395.1	4140228	3782
GCF_001482195.1	3988191	3371
GCF_001482365.1	3638342	3129
GCF_001482415.1	9741331	7843
GCF_001483865.1	5681722	4820
GCF_001483945.1	5611261	4773
GCF_001483985.1	1809624	1863
GCF_001484725.1	4352446	3848
GCF_001484965.1	3982201	3799
GCF_001485145.1	10579341	8980
GCF_001485475.2	2427925	2259
GCF_001486505.1	5370356	4764
GCF_001486585.1	5059704	4566
GCF_001486665.1	3829505	3509
GCF_001487105.1	3069885	2806
GCF_001493375.1	5884160	5150
GCF_001499615.1	3969909	3406
GCF_001500155.2	4647184	4123
GCF_001507645.1	4868852	3928
GCF_001507665.1	3264334	3142
GCF_001509405.1	3629239	3386
GCF_001513715.1	1261375	1074
GCF_001513955.1	9639743	8280
GCF_001513965.1	9835283	8182
GCF_001513975.1	8412249	7148
GCF_001514035.1	10159272	8581
GCF_001514055.1	10309547	8776
GCF_001514065.1	10145887	8910
GCF_001514125.1	8363623	7077
GCF_001514145.1	11570753	9905
GCF_001514205.1	10217879	8623
GCF_001514215.1	8408982	7107
GCF_001514235.1	10290495	8489
GCF_001514265.1	9179735	7857
GCF_001514535.1	1997652	2000
GCF_001515365.1	5940902	4534
GCF_001517405.1	4481256	3978
GCF_001517665.2	1739703	1597
GCF_001517975.1	4430365	3723
GCF_001518795.1	2054328	1816
GCF_001518835.1	4803917	4342
GCF_001519075.1	3968408	3574
GCF_001528665.1	8822209	7871
GCF_001535545.1	2016098	1563
GCF_001536285.1	9537992	7360
GCF_001541345.2	5754491	4991
GCF_001542405.1	8099863	7273
GCF_001542415.1	8722143	7583
GCF_001542625.1	10764674	9089
GCF_001543105.1	1634920	1444
GCF_001543125.1	5502003	4706
GCF_001543175.1	1974262	1719
GCF_001543245.1	1831400	1625
GCF_001543305.1	1522119	1304
GCF_001543325.1	2966978	2562
GCF_001544015.1	3817036	3499
GCF_001545095.1	2511486	2314
GCF_001545155.1	3973651	3476
GCF_001546165.1	2015538	1836
GCF_001547735.1	1816670	1829
GCF_001547935.1	5221926	4553
GCF_001547975.1	678592	575
GCF_001547995.1	3198265	2724
GCF_001548055.1	2698323	2645
GCF_001548255.1	2528077	2295
GCF_001548275.1	1814952	1768
GCF_001549955.1	4657167	4244
GCF_001550065.1	4557777	4181
GCF_001550135.1	4807552	4236
GCF_001550155.1	4459111	3934
GCF_001551835.1	4238526	3989
GCF_001552785.1	1452105	1242
GCF_001553005.1	1289860	1171
GCF_001553115.1	1837050	1702
GCF_001553225.1	2378563	1951
GCF_001553565.1	3051613	2437
GCF_001553605.1	3699310	3121
GCF_001553625.1	2783374	2479
GCF_001553955.1	2649137	2242
GCF_001558215.1	1984441	1815
GCF_001558255.2	3998439	3476
GCF_001558415.2	4827733	4322
GCF_001558775.1	2571829	2338
GCF_001559795.1	1460484	1400
GCF_001561915.1	2963953	2690
GCF_001561955.1	3120417	2841
GCF_001562195.1	4649146	3850
GCF_001562555.1	4750408	4310
GCF_001564415.1	5036843	3968
GCF_001564455.1	2542486	2323
GCF_001565895.1	5221450	4456
GCF_001570365.1	9024887	7914
GCF_001570405.1	8469978	7272
GCF_001570425.1	7387494	6955
GCF_001570485.1	6228220	5878
GCF_001570525.1	8595700	7536
GCF_001570545.1	9071752	8006
GCF_001570565.1	7857004	7110
GCF_001570585.1	8523669	7654
GCF_001570605.1	8282092	7322
GCF_001579945.1	3467246	3005
GCF_001580365.1	4159643	3684
GCF_001583435.1	5430256	4727
GCF_001584145.1	5599729	4810
GCF_001584205.1	4709377	4101
GCF_001584225.1	5585899	4958
GCF_001586155.1	6951444	6053
GCF_001586195.1	3991226	3771
GCF_001586235.1	2598702	2301
GCF_001586255.1	4204359	3680
GCF_001586935.1	952224	825
GCF_001587155.1	5530249	4643
GCF_001587215.1	3275331	2983
GCF_001590685.1	4674191	4284
GCF_001590835.1	5616250	5248
GCF_001593605.1	3882610	3293
GCF_001594225.2	6396728	5671
GCF_001594245.1	2129092	1898
GCF_001595965.1	2045211	2050
GCF_001595985.1	2318061	2311
GCF_001598035.1	2182100	1873
GCF_001598055.1	7136420	6437
GCF_001601555.1	3188572	2802
GCF_001602095.1	1829936	1675
GCF_001605725.1	5573781	5368
GCF_001606025.1	3349444	2690
GCF_001606295.1	5074222	4908
GCF_001611155.1	2173661	1951
GCF_001611675.1	4829559	4045
GCF_001611795.1	9083372	7718
GCF_001611955.1	2560146	2347
GCF_001611975.1	2467625	2196
GCF_001612575.1	1732661	1647
GCF_001612705.2	6856835	6139
GCF_001617625.1	3938396	3220
GCF_001618145.1	4118836	3839
GCF_001618505.2	3853453	3411
GCF_001618685.1	3474426	3173
GCF_001618845.1	6880454	6343
GCF_001618865.1	7480314	6087
GCF_001620265.1	4987611	4352
GCF_001623565.1	2322791	2091
GCF_001625105.1	9282228	8495
GCF_001628775.1	4842994	4468
GCF_001629705.1	4230665	4233
GCF_001632305.1	5897585	5174
GCF_001632775.1	4446619	3565
GCF_001632805.1	5029817	4793
GCF_001633145.1	4196493	3849
GCF_001634285.1	3158269	3094
GCF_001636015.1	2306095	2091
GCF_001636295.1	3826972	3388
GCF_001636315.1	5807726	5356
GCF_001636325.1	5471077	5264
GCF_001636335.1	4131589	3828
